group,Subj_new,block,trial,market_change,exp,expt1,port_value,portvalue_tM1_subj,portvalue_tM2_matlab,portvalue_tMJ_subj,Known_change_exp,change_exp,Kown_change,change,vWTP
1,58,3,112,-7.4997,-3,-3,82,82,90,97,-12,-5,-15,-8,1
1,58,3,113,6.71278,1,-3,81,NaN,82,82,NaN,NaN,NaN,NaN,0
1,58,3,114,1.0368,1,1,85,81,76,82,-2,4,-1,5,0
1,58,3,115,10.96229,3,1,94,85,81,81,3,3,4,4,0
1,58,3,116,1.1483,1,3,94,94,85,85,6,6,9,9,0
1,58,3,117,9.3651,2,1,104,NaN,94,94,NaN,NaN,NaN,NaN,1
1,58,3,118,4.06506,2,2,96,104,95,94,8,7,10,9,0
1,58,3,119,-2.97645,-2,2,96,96,104,104,-10,-10,-8,-8,0
1,58,3,120,-5.70625,-3,-2,96,NaN,96,96,NaN,NaN,NaN,NaN,1
1,58,3,121,6.26744,2,-3,96,NaN,93,96,NaN,NaN,NaN,NaN,0
1,58,3,122,3.41064,2,2,110,NaN,100,96,NaN,NaN,NaN,NaN,3
1,58,3,123,-4.03541,-1,2,115,110,106,96,12,2,14,4,1
1,58,3,124,-1.49535,-1,-1,115,115,110,110,6,6,5,5,1
1,58,3,125,1.22086,1,-1,116,115,115,115,1,1,0,0,0
1,58,3,126,3.11844,2,1,116,116,115,115,0,0,1,1,0
1,58,3,127,-2.32051,-2,2,104,NaN,116,116,NaN,NaN,NaN,NaN,0
1,58,3,128,2.12669,1,-2,104,104,106,116,-10,0,-12,-2,0
1,58,3,129,-7.61103,-2,1,93,NaN,104,104,NaN,NaN,NaN,NaN,0
1,58,3,130,6.50851,2,-2,93,93,101,104,-9,-6,-11,-8,0
1,58,3,131,-0.46044,-2,2,93,NaN,93,93,NaN,NaN,NaN,NaN,0
1,58,3,132,-10.77676,-3,-2,93,NaN,99,93,NaN,NaN,NaN,NaN,0
1,58,3,133,6.31342,2,-3,107,NaN,99,93,NaN,NaN,NaN,NaN,0
1,58,3,134,-7.59105,-2,2,107,107,101,93,12,4,14,6,0
